,n,time,ids,e_ids,rejected,false_rejects
0,1,2.0979011058807373,16,1,27,11
1,2,0.03061842918395996,17,0,28,13
2,3,0.03580164909362793,17,0,21,10
3,4,0.08728837966918945,16,0,23,11
4,5,0.049568891525268555,16,0,25,12
5,6,0.08626794815063477,16,0,28,14
6,7,0.0771479606628418,16,0,24,10
7,8,0.06702709197998047,16,0,25,15
8,9,0.03347206115722656,16,0,22,10
9,10,0.07149529457092285,16,0,27,15
10,11,0.09955978393554688,15,1,32,19
11,12,0.07116842269897461,16,0,26,13
12,13,0.07560133934020996,16,0,24,13
13,14,0.07885193824768066,16,0,23,10
14,15,0.06057405471801758,16,0,24,10
15,16,0.05658841133117676,16,0,27,14
16,17,0.062335968017578125,16,0,29,12
17,18,0.05711793899536133,16,0,23,10
18,19,0.08554577827453613,15,1,26,12
19,20,0.0562899112701416,16,0,29,14
20,21,0.059005022048950195,16,0,25,11
21,22,0.05974102020263672,16,0,28,13
22,23,0.06334853172302246,16,0,25,12
23,24,0.059183359146118164,16,0,26,14
24,25,0.06421160697937012,16,0,29,17
25,26,0.06012916564941406,16,0,30,18
26,27,0.05704140663146973,16,0,28,17
27,28,0.05722546577453613,16,0,29,16
28,29,0.029531002044677734,16,0,28,14
29,30,0.02911520004272461,16,0,27,17
30,31,0.032549381256103516,16,0,26,14
31,32,0.05977010726928711,15,1,26,16
32,33,0.025763511657714844,16,0,25,15
33,34,0.057495832443237305,15,1,26,17
34,35,0.026356220245361328,16,0,28,16
35,36,0.055829763412475586,16,0,29,19
36,37,0.05243945121765137,16,0,29,19
37,38,0.05354714393615723,16,0,26,17
38,39,0.06002163887023926,16,0,28,20
39,40,0.0325322151184082,16,0,28,18
40,41,0.02683401107788086,16,0,23,16
41,42,0.029824018478393555,16,0,26,19
42,43,0.026630401611328125,16,0,23,14
43,44,0.02672600746154785,16,0,24,16
44,45,0.03142666816711426,16,0,22,12
45,46,0.03239297866821289,16,0,26,15
46,47,0.030930042266845703,17,0,26,17
47,48,0.03366661071777344,17,0,22,13
48,49,0.02679276466369629,17,0,18,11
49,50,0.05451035499572754,16,1,19,11
50,51,0.02526378631591797,17,0,20,12
51,52,0.030040979385375977,17,0,19,10
52,53,0.026972532272338867,17,0,21,12
53,54,0.029349565505981445,17,0,18,8
54,55,0.03664350509643555,17,0,19,8
55,56,0.026680469512939453,17,0,18,8
56,57,0.03138899803161621,17,0,19,9
57,58,0.02953958511352539,17,0,18,7
58,59,0.028742074966430664,17,0,15,7
59,60,0.029902219772338867,17,0,19,8
60,61,0.058251142501831055,16,1,16,8
61,62,0.029752731323242188,17,0,18,6
62,63,0.026801347732543945,17,0,21,12
63,64,0.02991771697998047,17,0,16,7
64,65,0.02917623519897461,17,0,15,5
65,66,0.055405616760253906,16,1,13,4
66,67,0.029386520385742188,17,0,16,6
67,68,0.024895668029785156,17,0,15,6
68,69,0.07879328727722168,15,2,18,8
69,70,0.029403209686279297,17,0,14,4
70,71,0.026308536529541016,17,0,17,7
71,72,0.05770421028137207,16,1,17,8
72,73,0.02955913543701172,17,0,17,6
73,74,0.0263059139251709,17,0,18,8
74,75,0.029453516006469727,17,0,16,6
75,76,0.028287887573242188,17,0,13,6
76,77,0.025918960571289062,17,0,17,9
77,78,0.026045560836791992,17,0,17,7
78,79,0.027614355087280273,17,0,18,8
79,80,0.02830648422241211,17,0,15,6
80,81,0.05602860450744629,16,1,18,9
81,82,0.03253984451293945,17,0,20,10
82,83,0.05821704864501953,16,1,18,8
83,84,0.030127286911010742,16,0,19,11
84,85,0.11545968055725098,16,1,21,11
85,86,0.06691956520080566,16,1,24,15
86,87,0.05150771141052246,16,1,18,10
87,88,0.07532930374145508,15,2,23,14
88,89,0.027378082275390625,17,0,22,12
89,90,0.025658607482910156,17,0,19,10
90,91,0.023823976516723633,16,0,22,13
91,92,0.026469707489013672,16,0,24,14
92,93,0.051964521408081055,14,1,22,14
93,94,0.02495598793029785,16,0,24,14
94,95,0.026906728744506836,17,0,24,13
95,96,0.025141000747680664,17,0,22,10
96,97,0.07689309120178223,15,1,27,16
97,98,0.02955150604248047,17,0,22,13
98,99,0.10962533950805664,14,3,29,15
99,100,0.024891138076782227,17,0,30,17
100,101,0.05639338493347168,16,0,28,15
101,102,0.05033373832702637,16,1,29,15
102,103,0.05291032791137695,16,0,23,12
103,104,0.02384328842163086,17,0,27,15
104,105,0.10306739807128906,14,3,24,14
105,106,0.05720257759094238,16,1,26,16
106,107,0.07611322402954102,15,2,25,15
107,108,0.026563405990600586,17,0,25,14
108,109,0.026282787322998047,17,0,23,13
109,110,0.025520801544189453,17,0,24,13
110,111,0.05191373825073242,16,1,25,14
111,112,0.029126882553100586,17,0,22,14
112,113,0.029654264450073242,17,0,23,12
113,114,0.0319366455078125,17,0,21,12
114,115,0.05614805221557617,16,1,21,12
115,116,0.06399869918823242,16,0,21,13
116,117,0.05094194412231445,16,1,27,17
117,118,0.024583816528320312,17,0,29,20
118,119,0.029993534088134766,17,0,25,14
119,120,0.051595449447631836,16,1,27,17
120,121,0.036305904388427734,17,0,28,17
121,122,0.027668237686157227,17,0,26,15
122,123,0.02781844139099121,17,0,23,11
123,124,0.024251461029052734,17,0,27,17
124,125,0.02902531623840332,17,0,29,17
125,126,0.02831864356994629,17,0,32,19
126,127,0.05379223823547363,16,1,28,15
127,128,0.05812358856201172,16,1,30,20
128,129,0.07791543006896973,15,2,30,20
129,130,0.05164003372192383,16,1,30,19
130,131,0.1139686107635498,14,3,35,24
131,132,0.05243492126464844,16,0,30,19
132,133,0.08331131935119629,14,2,34,22
133,134,0.05745983123779297,15,1,31,19
134,135,0.10159969329833984,14,2,34,23
135,136,0.06779313087463379,16,1,32,20
136,137,0.07666468620300293,15,2,32,19
137,138,0.028678178787231445,17,0,35,23
138,139,0.02765822410583496,17,0,33,20
139,140,0.05480146408081055,16,1,36,24
140,141,0.025988340377807617,17,0,29,21
141,142,0.024318933486938477,17,0,27,17
142,143,0.05468010902404785,16,1,36,26
143,144,0.03697013854980469,17,0,28,18
