,n,time,ids,e_ids,rejected,false_rejects
0,1,0.1386399269104004,16,1,27,11
1,2,0.03245735168457031,17,0,28,13
2,3,0.03454160690307617,17,0,21,10
3,4,0.04306960105895996,16,0,23,11
4,5,0.04640960693359375,16,0,25,12
5,6,0.05265164375305176,16,0,28,14
6,7,0.04576826095581055,16,0,24,10
7,8,0.030640125274658203,16,0,25,15
8,9,0.03383612632751465,16,0,22,10
9,10,0.03470611572265625,16,0,27,15
10,11,0.03377866744995117,15,1,32,19
11,12,0.040190696716308594,16,0,26,13
12,13,0.027840614318847656,16,0,24,13
13,14,0.03012251853942871,16,0,23,10
14,15,0.029412269592285156,16,0,24,10
15,16,0.028622865676879883,16,0,27,14
16,17,0.02920079231262207,16,0,29,12
17,18,0.028051137924194336,16,0,23,10
18,19,0.03847312927246094,15,1,26,12
19,20,0.03980588912963867,16,0,29,14
20,21,0.042420387268066406,16,0,25,11
21,22,0.03853416442871094,16,0,28,13
22,23,0.031004667282104492,16,0,25,12
23,24,0.03295397758483887,16,0,26,14
24,25,0.0309295654296875,16,0,29,17
25,26,0.032099246978759766,16,0,30,18
26,27,0.031244993209838867,16,0,28,17
27,28,0.035446882247924805,16,0,29,16
28,29,0.028294801712036133,16,0,28,14
29,30,0.02781057357788086,16,0,27,17
30,31,0.03298020362854004,16,0,26,14
31,32,0.03327536582946777,15,0,26,16
32,33,0.025751352310180664,16,0,25,15
33,34,0.028833389282226562,15,1,26,17
34,35,0.028294086456298828,16,0,28,16
35,36,0.027669429779052734,16,0,29,19
36,37,0.03540658950805664,16,0,29,19
37,38,0.029172897338867188,16,0,26,17
38,39,0.034200429916381836,16,0,28,20
39,40,0.04364442825317383,16,0,28,18
40,41,0.04291343688964844,16,0,23,16
41,42,0.0346376895904541,16,0,26,19
42,43,0.03341174125671387,16,0,23,14
43,44,0.037383317947387695,16,0,24,16
44,45,0.03549957275390625,16,0,22,12
45,46,0.03125929832458496,16,0,26,15
46,47,0.02732706069946289,17,0,26,17
47,48,0.037104129791259766,17,0,22,13
48,49,0.04367208480834961,17,0,18,11
49,50,0.03460192680358887,16,1,19,11
50,51,0.03244304656982422,17,0,20,12
51,52,0.033170461654663086,17,0,19,10
52,53,0.039144039154052734,17,0,21,12
53,54,0.04363441467285156,17,0,18,8
54,55,0.033477783203125,17,0,19,8
55,56,0.03268694877624512,17,0,18,8
56,57,0.031693458557128906,17,0,19,9
57,58,0.035006046295166016,17,0,18,7
58,59,0.03583836555480957,17,0,15,7
59,60,0.03466010093688965,17,0,19,8
60,61,0.038228750228881836,16,1,16,8
61,62,0.02636861801147461,17,0,18,6
62,63,0.038057804107666016,17,0,21,12
63,64,0.026125192642211914,17,0,16,7
64,65,0.03194403648376465,17,0,15,5
65,66,0.04234623908996582,16,0,13,4
66,67,0.041346073150634766,17,0,16,6
67,68,0.026592254638671875,17,0,15,6
68,69,0.027466535568237305,15,1,18,8
69,70,0.02928447723388672,17,0,14,4
70,71,0.02949070930480957,17,0,17,7
71,72,0.031815528869628906,16,0,17,8
72,73,0.03906679153442383,17,0,17,6
73,74,0.033204078674316406,17,0,18,8
74,75,0.029336929321289062,17,0,16,6
75,76,0.03175234794616699,17,0,13,6
76,77,0.027619123458862305,17,0,17,9
77,78,0.028085708618164062,17,0,17,7
78,79,0.03505277633666992,17,0,18,8
79,80,0.03746342658996582,17,0,15,6
80,81,0.03392648696899414,16,0,18,9
81,82,0.0280914306640625,17,0,20,10
82,83,0.04163694381713867,16,1,18,8
83,84,0.032015323638916016,16,0,19,11
84,85,0.03623771667480469,16,0,21,11
85,86,0.03655385971069336,16,1,24,15
86,87,0.036887168884277344,16,1,18,10
87,88,0.03861546516418457,15,2,23,14
88,89,0.035369873046875,17,0,22,12
89,90,0.030358314514160156,17,0,19,10
90,91,0.03514552116394043,16,0,22,13
91,92,0.04044079780578613,16,0,24,14
92,93,0.04081892967224121,14,1,22,14
93,94,0.03730964660644531,16,0,24,14
94,95,0.03803849220275879,17,0,24,13
95,96,0.03466629981994629,17,0,22,10
96,97,0.040023088455200195,15,1,27,16
97,98,0.03587770462036133,17,0,22,13
98,99,0.05157899856567383,14,2,29,15
99,100,0.04457902908325195,17,0,30,17
100,101,0.02759385108947754,16,1,28,15
101,102,0.029761075973510742,16,0,29,15
102,103,0.02822709083557129,16,1,23,12
103,104,0.02551412582397461,17,0,27,15
104,105,0.03191661834716797,14,3,24,14
105,106,0.03350567817687988,16,0,26,16
106,107,0.030137300491333008,15,2,25,15
107,108,0.026346683502197266,17,0,25,14
108,109,0.030449390411376953,17,0,23,13
109,110,0.02819991111755371,17,0,24,13
110,111,0.029094219207763672,16,1,25,14
111,112,0.028775453567504883,17,0,22,14
112,113,0.03300666809082031,17,0,23,12
113,114,0.025752544403076172,17,0,21,12
114,115,0.030179977416992188,16,1,21,12
115,116,0.027859926223754883,16,0,21,13
116,117,0.028782129287719727,16,0,27,17
117,118,0.033715009689331055,17,0,29,20
118,119,0.02927398681640625,17,0,25,14
119,120,0.03458857536315918,16,1,27,17
120,121,0.029303789138793945,17,0,28,17
121,122,0.03173208236694336,17,0,26,15
122,123,0.06322622299194336,17,0,23,11
123,124,0.028876304626464844,17,0,27,17
124,125,0.03151059150695801,17,0,29,17
125,126,0.03289008140563965,17,0,32,19
126,127,0.0342564582824707,16,0,28,15
127,128,0.028954505920410156,16,1,30,20
128,129,0.03071141242980957,15,2,30,20
129,130,0.028274059295654297,16,1,30,19
130,131,0.08101201057434082,14,1,35,24
131,132,0.08117508888244629,16,0,30,19
132,133,0.06729578971862793,14,2,34,22
133,134,0.030715227127075195,15,0,31,19
134,135,0.03234076499938965,14,3,34,23
135,136,0.03079080581665039,16,1,32,20
136,137,0.0299530029296875,15,2,32,19
137,138,0.029082059860229492,17,0,35,23
138,139,0.02885723114013672,17,0,33,20
139,140,0.02970719337463379,16,1,36,24
140,141,0.030361652374267578,17,0,29,21
141,142,0.030564069747924805,17,0,27,17
142,143,0.03293967247009277,16,1,36,26
143,144,0.02944350242614746,17,0,28,18
144,145,0.030235767364501953,16,0,29,19
145,146,0.030485868453979492,15,1,29,16
146,147,0.03240466117858887,17,0,26,12
147,148,0.03555560111999512,16,1,31,19
148,149,0.03169894218444824,17,0,28,15
149,150,0.035001277923583984,16,1,32,20
150,151,0.03330373764038086,15,2,36,22
151,152,0.031080961227416992,17,0,28,15
152,153,0.03231215476989746,17,0,30,17
153,154,0.034146785736083984,14,2,30,18
154,155,0.028563737869262695,17,0,31,17
155,156,0.0275115966796875,17,0,28,17
156,157,0.031870126724243164,14,3,28,16
157,158,0.027321815490722656,17,0,27,15
158,159,0.03266429901123047,17,0,25,14
159,160,0.028363704681396484,16,1,30,18
160,161,0.02723979949951172,17,0,29,19
161,162,0.028968095779418945,17,0,26,15
162,163,0.02974724769592285,16,0,27,18
163,164,0.027787208557128906,17,0,29,17
164,165,0.03052830696105957,17,0,24,13
165,166,0.02808403968811035,17,0,31,19
166,167,0.02854156494140625,17,0,31,16
167,168,0.02723550796508789,17,0,25,16
168,169,0.029664039611816406,17,0,31,18
169,170,0.03310418128967285,17,0,29,16
170,171,0.027491092681884766,17,0,30,16
171,172,0.030077695846557617,17,0,32,19
172,173,0.03905057907104492,17,0,31,17
173,174,0.03466987609863281,15,2,28,16
174,175,0.030681133270263672,16,1,32,19
175,176,0.02982807159423828,16,1,29,18
176,177,0.0438227653503418,17,0,32,19
177,178,0.036130428314208984,16,1,29,17
178,179,0.03184223175048828,17,0,29,16
179,180,0.026845216751098633,17,0,26,15
180,181,0.028512239456176758,17,0,29,17
181,182,0.031838417053222656,17,0,26,14
182,183,0.029511690139770508,17,0,29,17
183,184,0.028371334075927734,17,0,26,12
184,185,0.0325930118560791,17,0,22,11
185,186,0.034316301345825195,16,1,22,12
186,187,0.02729344367980957,17,0,21,10
187,188,0.028693675994873047,16,1,24,13
188,189,0.027536630630493164,17,0,26,14
189,190,0.027229785919189453,17,0,24,11
190,191,0.031225919723510742,17,0,19,8
191,192,0.03980565071105957,16,1,25,13
192,193,0.028616666793823242,17,0,27,13
193,194,0.03740882873535156,17,0,22,10
194,195,0.029326200485229492,16,1,22,10
195,196,0.0272066593170166,17,0,27,12
196,197,0.028062820434570312,16,0,19,7
197,198,0.025081396102905273,17,0,19,7
198,199,0.030671358108520508,15,2,24,10
199,200,0.02619481086730957,17,0,25,11
200,201,0.026332616806030273,17,0,20,7
201,202,0.0278775691986084,17,0,23,11
202,203,0.028123140335083008,17,0,23,8
203,204,0.02960515022277832,17,0,22,8
204,205,0.06856775283813477,17,0,20,8
205,206,0.06895852088928223,17,0,22,9
206,207,0.03898119926452637,17,0,20,8
207,208,0.047052860260009766,15,2,24,10
208,209,0.05800318717956543,16,0,25,10
209,210,0.02617788314819336,16,1,23,9
210,211,0.028186321258544922,17,0,23,8
211,212,0.02885293960571289,17,0,23,7
212,213,0.027678251266479492,15,2,19,8
213,214,0.026341676712036133,17,0,22,9
214,215,0.02708268165588379,17,0,22,7
215,216,0.03253817558288574,16,1,21,7
216,217,0.025728464126586914,17,0,21,8
217,218,0.028567790985107422,15,1,19,6
218,219,0.029248476028442383,16,1,16,5
219,220,0.030807971954345703,17,0,20,5
220,221,0.0270388126373291,17,0,19,4
221,222,0.02843785285949707,17,0,17,6
222,223,0.03111553192138672,17,0,17,6
