,n,time,ids,e_ids,rejected,false_rejects
0,1,2.5643889904022217,16,1,27,11
1,2,0.03107738494873047,17,0,28,13
2,3,0.03461575508117676,17,0,21,10
3,4,0.09982085227966309,16,0,23,11
4,5,0.03649091720581055,16,0,25,12
5,6,0.1104886531829834,16,0,28,14
6,7,0.10077714920043945,16,0,24,10
7,8,0.1059260368347168,16,0,25,15
8,9,0.030031204223632812,16,0,22,10
9,10,0.09590411186218262,16,0,27,15
10,11,0.1484839916229248,15,0,32,19
11,12,0.08514785766601562,16,0,26,13
12,13,0.08315277099609375,16,0,24,13
13,14,0.07740569114685059,16,0,23,10
14,15,0.07411313056945801,16,0,24,10
15,16,0.0793614387512207,16,0,27,14
16,17,0.08174324035644531,16,0,29,12
17,18,0.07834053039550781,16,0,23,10
18,19,0.12639117240905762,15,1,26,12
19,20,0.08134651184082031,16,0,29,14
20,21,0.07750082015991211,16,0,25,11
21,22,0.08242964744567871,16,0,28,13
22,23,0.08397674560546875,16,0,25,12
23,24,0.08251690864562988,16,0,26,14
24,25,0.08614420890808105,16,0,29,17
25,26,0.0814981460571289,16,0,30,18
26,27,0.0802304744720459,16,0,28,17
27,28,0.07985949516296387,16,0,29,16
28,29,0.02788066864013672,16,0,28,14
29,30,0.030574798583984375,16,0,27,17
30,31,0.02789926528930664,16,0,26,14
31,32,0.08040452003479004,15,1,26,16
32,33,0.036829471588134766,16,0,25,15
33,34,0.08027887344360352,15,0,26,17
34,35,0.03189969062805176,16,0,28,16
35,36,0.08162713050842285,16,0,29,19
36,37,0.09419655799865723,16,0,29,19
37,38,0.0850229263305664,16,0,26,17
38,39,0.1761791706085205,16,0,28,20
39,40,0.03146815299987793,16,0,28,18
40,41,0.033591508865356445,16,0,23,16
41,42,0.03185462951660156,16,0,26,19
42,43,0.030103683471679688,16,0,23,14
43,44,0.027889251708984375,16,0,24,16
44,45,0.028882265090942383,16,0,22,12
45,46,0.027794837951660156,16,0,26,15
46,47,0.02722001075744629,17,0,26,17
47,48,0.03038311004638672,17,0,22,13
48,49,0.026913881301879883,17,0,18,11
49,50,0.07902789115905762,16,1,19,11
50,51,0.026798248291015625,17,0,20,12
51,52,0.030793190002441406,17,0,19,10
52,53,0.029989957809448242,17,0,21,12
53,54,0.026123046875,17,0,18,8
54,55,0.030239582061767578,17,0,19,8
55,56,0.040929317474365234,17,0,18,8
56,57,0.02883005142211914,17,0,19,9
57,58,0.028128385543823242,17,0,18,7
58,59,0.029076814651489258,17,0,15,7
59,60,0.026039600372314453,17,0,19,8
60,61,0.08091068267822266,16,1,16,8
61,62,0.0287320613861084,17,0,18,6
62,63,0.026523113250732422,17,0,21,12
63,64,0.027313232421875,17,0,16,7
