,n,time,ids,e_ids,rejected,false_rejects
0,1,0.13973546028137207,16,1,27,11
1,2,0.03322744369506836,17,0,28,13
2,3,0.03165411949157715,17,0,21,10
3,4,0.04596257209777832,16,0,23,11
4,5,0.04598832130432129,16,0,25,12
5,6,0.03964686393737793,16,0,28,14
6,7,0.03076791763305664,16,0,24,10
7,8,0.03889918327331543,16,0,25,15
8,9,0.028047561645507812,16,0,22,10
9,10,0.030393600463867188,16,0,27,15
10,11,0.03161048889160156,15,1,32,19
11,12,0.030439138412475586,16,0,26,13
12,13,0.030161380767822266,16,0,24,13
13,14,0.0269927978515625,16,0,23,10
14,15,0.02692890167236328,16,0,24,10
15,16,0.02893543243408203,16,0,27,14
16,17,0.06608438491821289,16,0,29,12
17,18,0.056699275970458984,16,0,23,10
18,19,0.05504608154296875,15,1,26,12
19,20,0.04782295227050781,16,0,29,14
20,21,0.029532432556152344,16,0,25,11
21,22,0.03035736083984375,16,0,28,13
22,23,0.02822709083557129,16,0,25,12
23,24,0.025864362716674805,16,0,26,14
24,25,0.0312952995300293,16,0,29,17
25,26,0.03273200988769531,16,0,30,18
26,27,0.07256126403808594,16,0,28,17
27,28,0.05238461494445801,16,0,29,16
28,29,0.024878263473510742,16,0,28,14
29,30,0.027765274047851562,16,0,27,17
30,31,0.04692959785461426,16,0,26,14
31,32,0.030860185623168945,15,1,26,16
32,33,0.026335716247558594,16,0,25,15
33,34,0.02765798568725586,15,1,26,17
34,35,0.03235483169555664,16,0,28,16
35,36,0.03316354751586914,16,0,29,19
36,37,0.03137326240539551,16,0,29,19
37,38,0.027558088302612305,16,0,26,17
38,39,0.028319835662841797,16,0,28,20
39,40,0.026564598083496094,16,0,28,18
40,41,0.03400468826293945,16,0,23,16
41,42,0.026250600814819336,16,0,26,19
42,43,0.028597116470336914,16,0,23,14
43,44,0.026458263397216797,16,0,24,16
44,45,0.026540279388427734,16,0,22,12
45,46,0.026669740676879883,16,0,26,15
46,47,0.025923967361450195,17,0,26,17
47,48,0.027426958084106445,17,0,22,13
48,49,0.024029970169067383,17,0,18,11
49,50,0.029540538787841797,16,1,19,11
50,51,0.025606870651245117,17,0,20,12
51,52,0.025623798370361328,17,0,19,10
52,53,0.029537439346313477,17,0,21,12
53,54,0.061289310455322266,17,0,18,8
54,55,0.03261876106262207,17,0,19,8
55,56,0.025641918182373047,17,0,18,8
56,57,0.028693199157714844,17,0,19,9
57,58,0.024919986724853516,17,0,18,7
58,59,0.02788519859313965,17,0,15,7
59,60,0.02698540687561035,17,0,19,8
60,61,0.025171518325805664,16,1,16,8
61,62,0.02954244613647461,17,0,18,6
62,63,0.0289459228515625,17,0,21,12
63,64,0.02529120445251465,17,0,16,7
64,65,0.026953458786010742,17,0,15,5
65,66,0.025165319442749023,16,1,13,4
66,67,0.02585148811340332,17,0,16,6
67,68,0.025360822677612305,17,0,15,6
68,69,0.028467416763305664,15,2,18,8
69,70,0.0611729621887207,17,0,14,4
70,71,0.05066347122192383,17,0,17,7
71,72,0.05025792121887207,16,1,17,8
72,73,0.04898357391357422,17,0,17,6
73,74,0.04083609580993652,17,0,18,8
74,75,0.026193618774414062,17,0,16,6
75,76,0.023497343063354492,17,0,13,6
76,77,0.02620244026184082,17,0,17,9
77,78,0.024394989013671875,17,0,17,7
78,79,0.026587247848510742,17,0,18,8
79,80,0.028724193572998047,17,0,15,6
80,81,0.031731367111206055,16,1,18,9
81,82,0.029558897018432617,17,0,20,10
82,83,0.02793264389038086,16,1,18,8
83,84,0.025405168533325195,16,0,19,11
84,85,0.027345657348632812,16,1,21,11
85,86,0.03254365921020508,16,1,24,15
86,87,0.029272794723510742,16,1,18,10
87,88,0.029973268508911133,15,2,23,14
88,89,0.024713754653930664,17,0,22,12
89,90,0.029926776885986328,17,0,19,10
90,91,0.049208641052246094,16,0,22,13
91,92,0.02446269989013672,16,0,24,14
92,93,0.027559995651245117,14,1,22,14
93,94,0.0279843807220459,16,0,24,14
94,95,0.02437424659729004,17,0,24,13
95,96,0.02636122703552246,17,0,22,10
96,97,0.027317285537719727,15,2,27,16
97,98,0.028017282485961914,17,0,22,13
98,99,0.03166055679321289,14,2,29,15
99,100,0.025591611862182617,17,0,30,17
100,101,0.026276588439941406,16,1,28,15
101,102,0.028128862380981445,16,1,29,15
102,103,0.02666306495666504,16,1,23,12
103,104,0.03127312660217285,17,0,27,15
104,105,0.07560873031616211,14,3,24,14
105,106,0.05472278594970703,16,1,26,16
106,107,0.05549311637878418,15,2,25,15
107,108,0.029168128967285156,17,0,25,14
108,109,0.028062105178833008,17,0,23,13
109,110,0.026345014572143555,17,0,24,13
110,111,0.027248859405517578,16,1,25,14
111,112,0.029231786727905273,17,0,22,14
112,113,0.028004169464111328,17,0,23,12
113,114,0.029619693756103516,17,0,21,12
114,115,0.0338132381439209,16,1,21,12
115,116,0.03210592269897461,16,0,21,13
116,117,0.03249812126159668,16,1,27,17
117,118,0.029007434844970703,17,0,29,20
118,119,0.027975082397460938,17,0,25,14
119,120,0.026093721389770508,16,1,27,17
120,121,0.0283505916595459,17,0,28,17
121,122,0.025934219360351562,17,0,26,15
122,123,0.026783466339111328,17,0,23,11
123,124,0.02710127830505371,17,0,27,17
124,125,0.025486230850219727,17,0,29,17
125,126,0.03153800964355469,17,0,32,19
126,127,0.030813217163085938,16,1,28,15
127,128,0.028436660766601562,16,1,30,20
128,129,0.028902530670166016,15,2,30,20
129,130,0.02738642692565918,16,1,30,19
130,131,0.030829906463623047,14,3,35,24
131,132,0.029084444046020508,16,0,30,19
132,133,0.027545690536499023,14,2,34,22
133,134,0.029380321502685547,15,1,31,19
134,135,0.030242919921875,14,2,34,23
135,136,0.02771139144897461,16,1,32,20
136,137,0.02740645408630371,15,1,32,19
137,138,0.03051471710205078,17,0,35,23
138,139,0.03193330764770508,17,0,33,20
139,140,0.03380560874938965,16,1,36,24
140,141,0.026927709579467773,17,0,29,21
141,142,0.026180505752563477,17,0,27,17
142,143,0.028666973114013672,16,1,36,26
143,144,0.026275634765625,17,0,28,18
144,145,0.03172111511230469,16,1,29,19
145,146,0.02713918685913086,15,2,29,16
146,147,0.027743816375732422,17,0,26,12
147,148,0.026763439178466797,16,1,31,19
148,149,0.027002573013305664,17,0,28,15
149,150,0.028198957443237305,16,1,32,20
150,151,0.02916407585144043,15,2,36,22
151,152,0.0264132022857666,17,0,28,15
152,153,0.03119516372680664,17,0,30,17
153,154,0.030260086059570312,14,3,30,18
154,155,0.02446269989013672,17,0,31,17
155,156,0.026709556579589844,17,0,28,17
156,157,0.031450510025024414,14,3,28,16
157,158,0.025496482849121094,17,0,27,15
158,159,0.026381969451904297,17,0,25,14
159,160,0.03132939338684082,16,1,30,18
160,161,0.03109455108642578,17,0,29,19
161,162,0.030458450317382812,17,0,26,15
162,163,0.03348684310913086,16,1,27,18
163,164,0.02904820442199707,17,0,29,17
164,165,0.029153108596801758,17,0,24,13
165,166,0.026885271072387695,17,0,31,19
166,167,0.027663469314575195,17,0,31,16
167,168,0.026465892791748047,17,0,25,16
168,169,0.02904963493347168,17,0,31,18
169,170,0.026058197021484375,17,0,29,16
170,171,0.02854633331298828,17,0,30,16
171,172,0.053263187408447266,17,0,32,19
172,173,0.026239395141601562,17,0,31,17
173,174,0.032644033432006836,15,2,28,16
174,175,0.029547452926635742,16,1,32,19
175,176,0.031163930892944336,16,1,29,18
176,177,0.028818845748901367,17,0,32,19
177,178,0.028042316436767578,16,1,29,17
178,179,0.025851726531982422,17,0,29,16
179,180,0.026036977767944336,17,0,26,15
180,181,0.026967525482177734,17,0,29,17
181,182,0.028093576431274414,17,0,26,14
182,183,0.02613973617553711,17,0,29,17
183,184,0.025974512100219727,17,0,26,12
184,185,0.027538537979125977,17,0,22,11
185,186,0.025449275970458984,16,1,22,12
186,187,0.026999473571777344,17,0,21,10
187,188,0.027080535888671875,16,1,24,13
188,189,0.025550365447998047,17,0,26,14
189,190,0.026198148727416992,17,0,24,11
190,191,0.02631378173828125,17,0,19,8
191,192,0.027770042419433594,16,1,25,13
192,193,0.0292966365814209,17,0,27,13
193,194,0.025510787963867188,17,0,22,10
194,195,0.029884815216064453,16,1,22,10
195,196,0.028332233428955078,17,0,27,12
196,197,0.03329300880432129,16,1,19,7
197,198,0.029418468475341797,17,0,19,7
198,199,0.0323338508605957,15,2,24,10
199,200,0.026363134384155273,17,0,25,11
200,201,0.027678251266479492,17,0,20,7
201,202,0.025313377380371094,17,0,23,11
202,203,0.03099513053894043,17,0,23,8
203,204,0.0294797420501709,16,1,23,9
204,205,0.026621341705322266,17,0,20,8
205,206,0.026693344116210938,17,0,22,9
206,207,0.027868270874023438,17,0,20,8
207,208,0.027898550033569336,15,2,24,10
208,209,0.02708148956298828,16,1,25,10
209,210,0.03235507011413574,16,1,23,9
210,211,0.025218725204467773,17,0,23,8
211,212,0.030321121215820312,17,0,23,7
212,213,0.02797722816467285,15,2,19,8
213,214,0.025644540786743164,17,0,22,9
214,215,0.025383710861206055,17,0,22,7
215,216,0.0261538028717041,16,1,21,7
216,217,0.024760723114013672,17,0,21,8
217,218,0.03231501579284668,15,2,19,6
218,219,0.028220176696777344,16,1,16,5
219,220,0.02463698387145996,17,0,20,5
220,221,0.03077983856201172,17,0,19,4
221,222,0.029648542404174805,17,0,17,6
222,223,0.025252342224121094,17,0,17,6
223,224,0.028217077255249023,17,0,20,6
224,225,0.029911518096923828,16,1,22,8
225,226,0.028034210205078125,16,1,20,8
226,227,0.030762672424316406,16,1,21,9
227,228,0.027788639068603516,17,0,22,11
228,229,0.03116893768310547,17,0,20,8
229,230,0.02542400360107422,17,0,20,9
230,231,0.025353670120239258,17,0,16,6
231,232,0.025431156158447266,17,0,19,8
232,233,0.025321483612060547,17,0,19,8
233,234,0.0271604061126709,17,0,18,9
234,235,0.0278470516204834,17,0,21,9
235,236,0.027254581451416016,17,0,22,8
236,237,0.02759265899658203,17,0,22,10
237,238,0.02885150909423828,17,0,21,9
238,239,0.027324438095092773,17,0,19,7
239,240,0.02832937240600586,17,0,20,7
240,241,0.03003835678100586,15,2,20,10
241,242,0.02697134017944336,16,1,23,11
242,243,0.026315689086914062,17,0,16,5
243,244,0.025338172912597656,17,0,17,6
244,245,0.027182340621948242,16,1,21,10
245,246,0.025436878204345703,17,0,20,10
246,247,0.025167226791381836,17,0,20,9
247,248,0.026090383529663086,16,1,18,6
248,249,0.026764869689941406,15,2,22,10
249,250,0.026093006134033203,16,0,18,9
250,251,0.028465747833251953,16,0,18,7
251,252,0.030147075653076172,15,1,18,6
252,253,0.026858091354370117,17,0,20,6
253,254,0.027935504913330078,17,0,20,8
254,255,0.02806830406188965,17,0,16,5
255,256,0.027074575424194336,16,1,18,7
256,257,0.02496933937072754,17,0,16,6
257,258,0.028041362762451172,17,0,18,7
258,259,0.027054309844970703,16,0,16,7
259,260,0.02548837661743164,16,1,17,7
260,261,0.030219078063964844,16,1,17,8
261,262,0.029005765914916992,16,1,18,8
262,263,0.027531862258911133,16,1,18,8
263,264,0.027062654495239258,17,0,13,4
264,265,0.0312802791595459,16,1,16,7
