,n,time,ids,e_ids,rejected,false_rejects
0,1,0.10805106163024902,0,0,15,12
1,2,0.026098251342773438,0,0,15,14
2,3,0.021989107131958008,0,0,14,12
3,4,0.03601217269897461,0,0,13,12
4,5,0.04280805587768555,0,0,17,14
5,6,0.04616904258728027,0,0,17,14
6,7,0.0433046817779541,0,0,15,14
7,8,0.04939007759094238,0,0,18,16
8,9,0.044817447662353516,0,0,15,11
9,10,0.04653739929199219,0,0,12,11
10,11,0.048291683197021484,0,0,12,11
11,12,0.04882311820983887,0,0,15,13
12,13,0.04924488067626953,0,0,15,13
13,14,0.051813602447509766,0,0,17,14
14,15,0.04923868179321289,0,0,16,14
15,16,0.05178976058959961,0,0,18,16
16,17,0.05146455764770508,0,0,18,15
17,18,0.04515361785888672,0,0,18,14
18,19,0.04909825325012207,0,0,19,16
19,20,0.044489145278930664,0,0,19,14
20,21,0.03215146064758301,0,0,15,13
21,22,0.02625751495361328,0,0,16,15
22,23,0.02368760108947754,0,0,16,14
23,24,0.027403831481933594,0,0,15,14
24,25,0.02522754669189453,0,0,19,13
25,26,0.022584915161132812,0,0,16,13
26,27,0.02669692039489746,0,0,18,16
27,28,0.02625107765197754,0,0,17,13
28,29,0.02422308921813965,0,0,19,17
29,30,0.02727818489074707,0,0,19,15
30,31,0.051476478576660156,0,0,19,15
31,32,0.031641483306884766,0,0,23,16
32,33,0.028168439865112305,0,0,22,16
33,34,0.027053356170654297,0,0,22,16
34,35,0.02798295021057129,0,0,21,17
35,36,0.027745723724365234,0,0,20,16
36,37,0.02741074562072754,0,0,20,15
37,38,0.029905319213867188,0,0,25,17
38,39,0.028780698776245117,0,0,21,17
39,40,0.029046297073364258,0,0,22,18
40,41,0.029278039932250977,0,0,22,17
41,42,0.029115676879882812,0,0,23,18
42,43,0.03216743469238281,0,0,28,16
43,44,0.02609109878540039,0,0,22,17
44,45,0.032171010971069336,0,0,21,15
45,46,0.02602362632751465,0,0,27,18
46,47,0.027536392211914062,0,0,25,18
47,48,0.02562427520751953,0,0,24,18
48,49,0.02528524398803711,0,0,25,17
49,50,0.023972511291503906,0,0,23,17
50,51,0.025801897048950195,0,0,25,18
51,52,0.024518966674804688,0,0,26,17
52,53,0.025202274322509766,0,0,25,17
53,54,0.028132915496826172,0,0,24,17
54,55,0.027314186096191406,0,0,23,15
55,56,0.027721405029296875,0,0,20,16
56,57,0.02688002586364746,0,0,29,17
57,58,0.027237892150878906,0,0,26,18
58,59,0.031494140625,0,0,23,17
59,60,0.03522324562072754,0,0,27,17
60,61,0.031235694885253906,0,0,27,18
61,62,0.029153823852539062,0,0,26,17
62,63,0.029574155807495117,0,0,27,18
63,64,0.02824115753173828,0,0,22,17
64,65,0.03300595283508301,0,0,24,17
65,66,0.028011560440063477,0,0,24,18
66,67,0.02756500244140625,0,0,26,17
67,68,0.028082847595214844,0,0,24,18
68,69,0.027515888214111328,0,0,23,17
69,70,0.02698969841003418,0,0,25,18
70,71,0.0270383358001709,0,0,27,18
71,72,0.029163122177124023,0,0,26,18
72,73,0.030117511749267578,0,0,29,18
73,74,0.027235746383666992,0,0,24,18
74,75,0.030438661575317383,0,0,28,18
75,76,0.02699422836303711,0,0,27,18
76,77,0.02626180648803711,0,0,30,18
77,78,0.03945279121398926,0,0,26,18
78,79,0.03072357177734375,0,0,25,18
79,80,0.030879497528076172,0,0,24,18
80,81,0.0296478271484375,0,0,27,17
81,82,0.028210163116455078,0,0,27,18
82,83,0.028419971466064453,0,0,26,18
83,84,0.027913808822631836,0,0,23,18
84,85,0.029295682907104492,0,0,24,18
85,86,0.027623414993286133,0,0,24,18
86,87,0.03051924705505371,0,0,27,18
87,88,0.0317530632019043,0,0,24,18
88,89,0.03245902061462402,0,0,28,18
89,90,0.029341697692871094,0,0,26,18
90,91,0.029288530349731445,0,0,27,17
91,92,0.026136159896850586,0,0,29,18
92,93,0.02808403968811035,0,0,26,17
93,94,0.02874612808227539,0,0,29,17
94,95,0.029883623123168945,0,0,22,16
95,96,0.025875568389892578,0,0,26,19
