,n,time,ids,e_ids,rejected,false_rejects
0,1,0.13646984100341797,0,0,15,12
1,2,0.03466057777404785,0,0,15,14
2,3,0.033901214599609375,0,0,14,12
3,4,0.04349637031555176,0,0,13,12
4,5,0.06930732727050781,0,0,17,14
5,6,0.0740807056427002,0,0,17,14
6,7,0.04482245445251465,0,0,15,14
7,8,0.050237417221069336,0,0,18,16
8,9,0.0630655288696289,0,0,15,11
9,10,0.05533885955810547,0,0,12,11
10,11,0.05167341232299805,0,0,12,11
11,12,0.05098271369934082,0,0,15,13
12,13,0.04814720153808594,0,0,15,13
13,14,0.053550004959106445,0,0,17,14
14,15,0.05578875541687012,0,0,16,14
15,16,0.052529335021972656,0,0,18,16
16,17,0.05741262435913086,0,0,18,15
17,18,0.05137920379638672,0,0,18,14
18,19,0.0569000244140625,0,0,19,16
19,20,0.04052162170410156,0,0,19,14
20,21,0.03462100028991699,0,0,15,13
21,22,0.031583309173583984,0,0,16,15
22,23,0.030028820037841797,0,0,16,14
23,24,0.03072524070739746,0,0,15,14
24,25,0.03790545463562012,0,0,19,13
25,26,0.040891408920288086,0,0,16,13
26,27,0.0266268253326416,0,0,18,16
27,28,0.02552652359008789,0,0,17,13
28,29,0.03448653221130371,0,0,19,17
29,30,0.031249523162841797,0,0,19,15
30,31,0.030172348022460938,0,0,19,15
31,32,0.028977394104003906,0,0,23,16
32,33,0.03276801109313965,0,0,22,16
33,34,0.031325578689575195,0,0,22,16
34,35,0.0407257080078125,0,0,21,17
35,36,0.031198501586914062,0,0,20,16
36,37,0.03653287887573242,0,0,20,15
37,38,0.03479123115539551,0,0,25,17
38,39,0.03502035140991211,0,0,21,17
39,40,0.0355527400970459,0,0,22,18
40,41,0.037108421325683594,0,0,22,17
41,42,0.03969073295593262,0,0,23,18
42,43,0.042119741439819336,0,0,28,16
43,44,0.040175676345825195,0,0,22,17
44,45,0.035508155822753906,0,0,21,15
45,46,0.03292536735534668,0,0,27,18
46,47,0.02748584747314453,0,0,25,18
47,48,0.027257442474365234,0,0,24,18
48,49,0.02715611457824707,0,0,25,17
49,50,0.03058791160583496,0,0,23,17
50,51,0.02690291404724121,0,0,25,18
51,52,0.02795267105102539,0,0,26,17
52,53,0.031147241592407227,0,0,25,17
53,54,0.029020071029663086,0,0,24,17
54,55,0.029260635375976562,0,0,23,15
55,56,0.026873111724853516,0,0,20,16
56,57,0.027797460556030273,0,0,29,17
57,58,0.02916860580444336,0,0,26,18
58,59,0.033022165298461914,0,0,23,17
59,60,0.026694059371948242,0,0,27,17
60,61,0.027938127517700195,0,0,27,18
61,62,0.02699732780456543,0,0,26,17
62,63,0.026398420333862305,0,0,27,18
63,64,0.027909040451049805,0,0,22,17
64,65,0.025400638580322266,0,0,24,17
65,66,0.029781341552734375,0,0,24,18
66,67,0.03349661827087402,0,0,26,17
67,68,0.02780771255493164,0,0,24,18
68,69,0.02572488784790039,0,0,23,17
69,70,0.02960801124572754,0,0,25,18
70,71,0.03069901466369629,0,0,27,18
71,72,0.028560400009155273,0,0,26,18
72,73,0.026479482650756836,0,0,29,18
73,74,0.032749176025390625,0,0,24,18
74,75,0.03260087966918945,0,0,28,18
75,76,0.02972888946533203,0,0,27,18
76,77,0.032073974609375,0,0,30,18
77,78,0.030639171600341797,0,0,26,18
78,79,0.033739566802978516,0,0,25,18
79,80,0.037439584732055664,0,0,24,18
80,81,0.028414249420166016,0,0,27,17
81,82,0.028466224670410156,0,0,27,18
82,83,0.030303239822387695,0,0,26,18
83,84,0.03343009948730469,0,0,23,18
84,85,0.03389859199523926,0,0,24,18
85,86,0.031614065170288086,0,0,24,18
86,87,0.034249067306518555,0,0,27,18
87,88,0.038632869720458984,0,0,24,18
88,89,0.02682805061340332,0,0,28,18
89,90,0.030179262161254883,0,0,26,18
90,91,0.028756141662597656,0,0,27,17
91,92,0.02941441535949707,0,0,29,18
92,93,0.028389692306518555,0,0,26,17
93,94,0.03541445732116699,0,0,29,17
94,95,0.03221940994262695,0,0,22,16
95,96,0.029140472412109375,0,0,26,19
96,97,0.034560203552246094,0,0,25,18
97,98,0.03282427787780762,0,0,32,18
98,99,0.0333707332611084,0,0,29,15
99,100,0.04064607620239258,0,0,26,18
100,101,0.045257568359375,0,0,29,18
101,102,0.03557229042053223,0,0,29,18
102,103,0.03524613380432129,0,0,26,18
103,104,0.03824758529663086,0,0,29,18
104,105,0.03925180435180664,0,0,23,16
105,106,0.03518557548522949,0,0,25,17
106,107,0.034417152404785156,0,0,27,17
107,108,0.03095531463623047,0,0,26,18
108,109,0.03539156913757324,0,0,26,17
109,110,0.028871774673461914,0,0,26,18
110,111,0.034447669982910156,0,0,27,18
111,112,0.035058021545410156,0,0,28,18
112,113,0.03303360939025879,0,0,25,16
113,114,0.03517603874206543,0,0,30,18
114,115,0.034186363220214844,0,0,24,16
115,116,0.033840179443359375,0,0,26,18
116,117,0.03322291374206543,0,0,23,16
117,118,0.03148388862609863,0,0,22,17
118,119,0.0332188606262207,0,0,24,17
119,120,0.02913665771484375,0,0,25,16
120,121,0.034598588943481445,0,0,20,16
121,122,0.0350496768951416,0,0,21,15
122,123,0.028963565826416016,0,0,19,16
123,124,0.030802488327026367,0,0,17,14
124,125,0.026508092880249023,0,0,15,15
125,126,0.026012897491455078,0,0,16,13
126,127,0.026511192321777344,0,0,19,15
127,128,0.02777099609375,0,0,19,17
128,129,0.027971506118774414,0,0,17,13
129,130,0.03585052490234375,0,0,19,17
130,131,0.02812361717224121,0,0,17,16
131,132,0.028017520904541016,0,0,19,16
132,133,0.029142141342163086,0,0,20,18
133,134,0.029630184173583984,0,0,22,17
134,135,0.03162574768066406,0,0,19,17
135,136,0.03183698654174805,0,0,20,18
136,137,0.03351163864135742,0,0,18,18
137,138,0.03414463996887207,0,0,19,18
138,139,0.029038429260253906,0,0,20,18
139,140,0.027730464935302734,0,0,20,17
140,141,0.026335954666137695,0,0,21,18
141,142,0.027688264846801758,0,0,21,18
142,143,0.028237104415893555,0,0,26,18
143,144,0.03148984909057617,0,0,21,18
144,145,0.033400774002075195,0,0,25,18
145,146,0.028382062911987305,0,0,24,18
146,147,0.029151201248168945,0,0,29,18
147,148,0.027700424194335938,0,0,27,18
148,149,0.03055572509765625,0,0,25,18
149,150,0.03301215171813965,0,0,23,18
150,151,0.03395485877990723,0,0,28,18
151,152,0.02765178680419922,0,0,24,18
152,153,0.029930830001831055,0,0,27,18
153,154,0.03413558006286621,0,0,25,18
154,155,0.030462026596069336,0,0,25,18
155,156,0.029563426971435547,0,0,30,18
156,157,0.03463006019592285,0,0,26,18
157,158,0.029566287994384766,0,0,25,17
158,159,0.02881908416748047,0,0,27,18
159,160,0.027167558670043945,0,0,24,18
160,161,0.028754234313964844,0,0,25,18
161,162,0.028897762298583984,0,0,30,18
162,163,0.027474164962768555,0,0,29,17
163,164,0.02805948257446289,0,0,30,19
164,165,0.03325510025024414,0,0,31,19
165,166,0.02760028839111328,0,0,35,18
166,167,0.03111577033996582,0,0,31,18
167,168,0.02823638916015625,0,0,36,18
168,169,0.027225494384765625,0,0,30,18
169,170,0.030541658401489258,0,0,36,19
170,171,0.027243852615356445,0,0,30,19
171,172,0.027402639389038086,0,0,35,18
172,173,0.02656269073486328,0,0,40,18
173,174,0.03257584571838379,0,0,34,18
174,175,0.028552532196044922,0,0,37,18
175,176,0.061868906021118164,0,0,34,17
176,177,0.04206442832946777,0,0,30,18
177,178,0.0411219596862793,0,0,32,18
178,179,0.04547524452209473,0,0,30,18
179,180,0.026433944702148438,0,0,36,18
180,181,0.033316850662231445,0,0,36,18
181,182,0.03392791748046875,0,0,39,18
182,183,0.026573657989501953,0,0,36,18
183,184,0.027590036392211914,0,0,37,18
184,185,0.029538393020629883,0,0,41,18
185,186,0.025754213333129883,0,0,35,19
186,187,0.027662277221679688,0,0,35,18
187,188,0.029918193817138672,0,0,38,19
188,189,0.031108379364013672,0,0,34,18
189,190,0.0289609432220459,0,0,38,19
190,191,0.029080867767333984,0,0,45,19
191,192,0.031284332275390625,0,0,47,18
192,193,0.032868385314941406,0,0,43,16
193,194,0.04040837287902832,0,0,36,16
194,195,0.05088043212890625,0,0,36,16
195,196,0.03016185760498047,0,0,44,18
196,197,0.03526735305786133,0,0,36,16
197,198,0.028766632080078125,0,0,38,16
198,199,0.02771925926208496,0,0,40,18
199,200,0.03223752975463867,0,0,47,18
200,201,0.02696847915649414,0,0,45,18
201,202,0.028630971908569336,0,0,52,18
202,203,0.03313589096069336,0,0,48,18
203,204,0.027894973754882812,0,0,43,16
204,205,0.02821803092956543,0,0,54,18
205,206,0.028175830841064453,0,0,55,17
206,207,0.02927994728088379,0,0,49,19
207,208,0.02858877182006836,0,0,45,16
208,209,0.03086066246032715,0,0,46,17
209,210,0.029819488525390625,0,0,46,18
210,211,0.03373885154724121,0,0,36,15
211,212,0.029935598373413086,0,0,36,14
212,213,0.0337376594543457,0,0,38,14
213,214,0.031116008758544922,0,0,34,14
214,215,0.02778005599975586,0,0,37,14
215,216,0.02840280532836914,0,0,40,13
216,217,0.0303194522857666,0,0,42,14
217,218,0.03318142890930176,0,0,50,14
218,219,0.03038311004638672,0,0,48,14
219,220,0.03188943862915039,0,0,42,15
220,221,0.031121492385864258,0,0,36,16
221,222,0.032395124435424805,0,0,41,17
222,223,0.03379011154174805,0,0,44,18
223,224,0.03510904312133789,0,0,39,18
224,225,0.029446840286254883,0,0,49,18
225,226,0.029867172241210938,0,0,38,16
226,227,0.027912378311157227,0,0,46,18
227,228,0.02734994888305664,0,0,42,18
228,229,0.030129671096801758,0,0,35,14
229,230,0.027766704559326172,0,0,44,16
230,231,0.03072214126586914,0,0,40,19
231,232,0.0302426815032959,0,0,42,15
232,233,0.031987905502319336,0,0,44,16
233,234,0.0310821533203125,0,0,39,15
234,235,0.02842092514038086,0,0,42,16
235,236,0.030149221420288086,0,0,40,16
236,237,0.03134489059448242,0,0,37,16
237,238,0.03359556198120117,0,0,37,16
238,239,0.03487372398376465,0,0,39,18
239,240,0.03199958801269531,0,0,41,18
240,241,0.0281679630279541,0,0,43,16
241,242,0.027045726776123047,0,0,45,16
242,243,0.02731609344482422,0,0,38,12
243,244,0.026929616928100586,0,0,32,14
244,245,0.027300596237182617,0,0,34,16
245,246,0.03052806854248047,0,0,38,18
246,247,0.033814430236816406,0,0,38,14
247,248,0.02944326400756836,0,0,42,16
248,249,0.02947258949279785,0,0,35,14
249,250,0.02952861785888672,0,0,38,14
250,251,0.02699899673461914,0,0,42,14
251,252,0.032587528228759766,0,0,46,17
252,253,0.02926015853881836,0,0,49,17
253,254,0.029493093490600586,0,0,41,17
254,255,0.02812504768371582,0,0,41,15
255,256,0.03080439567565918,0,0,46,17
256,257,0.0285031795501709,0,0,43,14
257,258,0.03154134750366211,0,0,37,14
